document_id,transform_number,origin_class,genre,n_models,mean_delta_prob,instability_rate,flip_rate,max_abs_delta
human_news_gazeta_0040,2,H,news,18,0.0000000000,0.000000,0.000000,0.0000000000
human_news_gazeta_0040,3,H,news,18,0.0000000000,0.000000,0.000000,0.0000000000
human_news_gazeta_0040,4,H,news,18,0.0000000000,0.000000,0.000000,0.0000000000
human_news_gazeta_0040,5,H,news,18,0.0010671394,0.000000,0.000000,0.0061897817
human_news_gazeta_0040,10,H,news,18,-0.0265698886,0.111111,0.000000,0.1656147124
human_news_gazeta_0040,11,H,news,18,-0.0320018845,0.111111,0.000000,0.2132494258
human_news_gazeta_0040,13,H,news,18,0.0024515834,0.000000,0.000000,0.0258091412
human_news_gazeta_0040,15,H,news,18,0.0006598562,0.000000,0.000000,0.0051413368
human_news_gazeta_0040,16,H,news,18,0.0000000000,0.000000,0.000000,0.0000000000
human_news_lenta_0001,1,H,news,18,0.0008521721,0.000000,0.000000,0.0022569756
human_news_lenta_0001,2,H,news,18,0.0000000000,0.000000,0.000000,0.0000000000
human_news_lenta_0001,3,H,news,18,0.0000000000,0.000000,0.000000,0.0000000000
human_news_lenta_0001,4,H,news,18,0.0000000000,0.000000,0.000000,0.0000000000
human_news_lenta_0001,5,H,news,18,-0.0016754599,0.000000,0.000000,0.0104251139
human_news_lenta_0001,10,H,news,18,0.0082225674,0.000000,0.000000,0.0246892721
human_news_lenta_0001,11,H,news,18,-0.0642043022,0.444444,0.000000,0.3432541279
human_news_lenta_0001,13,H,news,18,-0.0062103656,0.000000,0.000000,0.0165505549
human_news_lenta_0001,15,H,news,18,0.0068989980,0.000000,0.000000,0.0359560311
human_news_lenta_0001,16,H,news,18,0.0000000000,0.000000,0.000000,0.0000000000
human_news_lenta_0016,1,H,news,18,-0.0020054354,0.000000,0.000000,0.0291515893
human_news_lenta_0016,2,H,news,18,0.0000000000,0.000000,0.000000,0.0000000000
human_news_lenta_0016,3,H,news,18,0.0000000000,0.000000,0.000000,0.0000000000
human_news_lenta_0016,4,H,news,18,0.0000000000,0.000000,0.000000,0.0000000000
human_news_lenta_0016,5,H,news,18,-0.0262299800,0.166667,0.000000,0.2606287161
human_news_lenta_0016,10,H,news,18,-0.0077780663,0.111111,0.000000,0.2588592029
human_news_lenta_0016,11,H,news,18,-0.0293995123,0.166667,0.000000,0.2688909524
human_news_lenta_0016,13,H,news,18,0.0208429255,0.055556,0.055556,0.3392594435
human_news_lenta_0016,15,H,news,18,0.0227654185,0.055556,0.055556,0.3331187739
human_news_lenta_0016,16,H,news,18,0.0000000000,0.000000,0.000000,0.0000000000
human_prose_taiga_arzamas_0050,1,H,prose,1,0.0000000000,0.000000,0.000000,0.0000000000
human_prose_taiga_arzamas_0050,2,H,prose,1,0.0000000000,0.000000,0.000000,0.0000000000
human_prose_taiga_arzamas_0050,3,H,prose,1,0.0000000000,0.000000,0.000000,0.0000000000
human_prose_taiga_arzamas_0050,4,H,prose,1,0.0464197538,0.000000,0.000000,0.0464197538
human_prose_taiga_arzamas_0050,5,H,prose,1,0.0020470652,0.000000,0.000000,0.0020470652
human_prose_taiga_arzamas_0050,10,H,prose,1,0.0077340141,0.000000,0.000000,0.0077340141
human_prose_taiga_arzamas_0050,11,H,prose,1,-0.1537007857,1.000000,0.000000,0.1537007857
human_prose_taiga_arzamas_0050,13,H,prose,1,0.0114229364,0.000000,0.000000,0.0114229364
human_prose_taiga_arzamas_0050,15,H,prose,1,0.0105600168,0.000000,0.000000,0.0105600168
human_prose_taiga_arzamas_0050,16,H,prose,1,0.0000000000,0.000000,0.000000,0.0000000000
human_prose_taiga_arzamas_0051,1,H,prose,1,0.0000000000,0.000000,0.000000,0.0000000000
human_prose_taiga_arzamas_0051,2,H,prose,1,0.0000000000,0.000000,0.000000,0.0000000000
human_prose_taiga_arzamas_0051,3,H,prose,1,0.0000000000,0.000000,0.000000,0.0000000000
human_prose_taiga_arzamas_0051,4,H,prose,1,0.0000000000,0.000000,0.000000,0.0000000000
human_prose_taiga_arzamas_0051,5,H,prose,1,0.0003426583,0.000000,0.000000,0.0003426583
